sample,r,s,t,u,v,w,moisture(g)
1,798.22,63.35,100.69,57.3,53.6,26.9,9.54
2,728.76,57.22,96.79,52.24,48.58,24.69,8.07
3,292.64,28.61,90.55,49.71,31.83,14.59,9.96
4,209.52,26.57,80.4,46.34,30.99,16.84,10.91
5,498.75,56.2,85.08,45.58,41.88,22.45,8.23
6,618.31,54.16,73.37,44.66,44.39,23.57,6.27
7,436.12,37.81,99.91,53.08,41.04,20.2,6.48
8,282.4,28.61,86.64,48.87,35.18,20.2,7.38
9,431.57,42.92,95.23,53.93,43.55,22.45,8.11
10,187.88,26.57,80.4,48.87,35.5,19.08,9.61
11,590.98,50.07,102.25,53.93,43.55,20.2,4.99
12,447.51,35.76,96.01,53.08,41.88,22.45,6.63
13,367.8,36.79,87.42,53.08,43.55,24.69,8.31
14,380.32,32.7,86.64,51.4,42.72,23.57,9.14
15,487.36,45.98,92.11,60.67,56.12,32.55,6.55
16,608.06,54.16,102.25,59.82,52.77,28.06,9.37
17,461.17,44.96,91.33,53.93,46.9,28.06,9.61
18,587.57,44.96,96.01,58.98,53.6,29.18,6.83
19,780.01,70.51,94.45,56.45,56.12,29.18,7.02
20,422.46,37.81,106.94,61.51,46.07,24.69,5.23
21,554.54,44.96,85.08,50.56,46.9,24.69,7.77
22,602.37,44.96,92.11,53.08,46.9,24.69,9.88
23,604.65,44.96,115.52,65.72,56.95,30.31,4.9
24,233.43,25.55,85.08,56.45,44.39,26.94,7.71
25,598.95,48.03,97.57,59.82,55.28,31.43,8.19
26,480.53,50.07,97.57,54.77,46.9,28.06,7.87
27,364.38,39.85,90.55,57.3,49.42,29.18,9.26
28,273.29,29.63,92.89,60.67,46.07,26.94,6.41
29,553.41,54.16,98.35,59.82,54.44,33.67,7.59
30,340.47,31.68,98.35,58.14,46.9,28.06,5.79
31,458.89,47,92.11,49.71,42.72,22.45,7.44
32,483.95,41.9,89.77,50.56,45.23,23.57,7.92
33,225.46,27.59,74.15,47.19,34.34,19,8.98
34,220.91,27.59,74.15,46.34,31.83,16.84,8.9
35,495.33,45.98,96.79,54.77,44.39,22.45,9.53
36,588.71,50.07,91.33,52.24,46.9,23.57,7.98
37,325.67,35.76,90.55,52.24,40.2,21.33,9.14
38,323.39,32.7,68.69,42.97,36.85,19.08,8.68
39,1318.61,110.36,91.33,53.08,65.33,33.67,8.25
40,1437.03,160.43,90.55,53.93,71.19,38.16,8.3
